feature,pearson_r,p_value
row_norm,0.37644950978298547,0.0
CFL_mean15,0.2951622397895736,0.0
CFL_std15,-0.28829158402181776,0.0
CFL_mean7,0.24006703819939268,0.0
CFL_std7,-0.2399114695577744,0.0
CFL_std3,-0.1795096274826443,0.0
CFL_mean3,0.1732472036280922,0.0
CFL,0.1430850881021601,0.0
CFL_grad_mag,-0.11616310284078332,0.0
col_norm,0.08844579750025244,0.0
Ignition_Prob_mean7,0.05512652621251875,1.4323118687588166e-184
Ignition_Prob_mean15,0.052059665382497525,8.422970932906455e-165
Ignition_Prob_mean3,0.0453390780537308,1.9169118363767522e-125
FSP_Index_mean7,0.04422049881904468,2.020127776424568e-119
Ignition_Prob_std3,-0.043551778747501345,6.824930286737584e-116
Ignition_Prob_std7,-0.04344571420248304,2.448169697846007e-115
FSP_Index_mean15,0.041547400884830596,1.2268250580290098e-105
Ignition_Prob,0.0383376037562603,3.200423180769623e-90
FSP_Index_mean3,0.03571699873727484,1.4955752731421686e-78
FSP_Index_std7,-0.03357506645484602,1.2625395165039553e-69
FSP_Index_std3,-0.03310034500857962,1.0120516087240866e-67
Struct_Exp_Index,0.02927544422856055,2.2967469629755854e-53
FSP_Index,0.02927544422856055,2.2967469629755854e-53
inter_ignition_x_struct,-0.027572903081263894,1.5427794027029138e-47
inter_ignition_x_cfl,-0.02588524693046916,4.194571370214059e-42
inter_cfl_x_fsp,-0.025618663828241472,2.8183649455441675e-41
Ignition_Prob_grad_mag,-0.02553879282267792,4.968391883276224e-41
Ignition_Prob_std15,-0.022382900434016403,6.542854844577398e-32
FSP_Index_std15,-0.016607442527030874,2.7226444910956962e-18
Ignition_Prob_grad_row,-0.007783756870870541,4.352784920912096e-05
CFL_grad_row,-0.007246405110332995,0.0001414079093852643
CFL_grad_col,-0.002769624961040735,0.1457952358309662
Ignition_Prob_grad_col,-0.0015274725829544395,0.4224411039663824
